source,target
2975,6384
2975,530
2975,1107983
2975,52057
2975,110380
2975,3084
2975,3087
2975,8349
2975,16896
2975,19239
2975,15532
2975,18471
2975,74611
2975,1407498
18471,74611
18471,1407498
18471,2395
18471,1735828
18471,53397
18471,1224841
18471,539
18471,111513
18471,514
18471,6193
18471,1892
8349,26466
8349,51551
8349,5606
8349,5632
8349,1179102
8349,11367
8349,31028
8349,1397846
8349,2166741
8349,3266
8349,36059
8349,21010
8349,101032
8349,3084
8349,3087
8349,103835
8349,6717
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,7796
8349,851784
8349,89819
8349,2641
8349,92029
8349,218506
8349,2098136
8349,2098137
8349,2098138
19239,16896
19239,15532
74611,1407498
74611,2682390
74611,2227
74611,4430
74611,449538
74611,13309
74611,1661465
52057,92932
52057,1326204
52057,1107983
52057,110380
52057,8654
52057,104053
52057,60158
52057,24810
52057,109686
52057,2089925
52057,2535
52057,225620
52057,1038
52057,4173
52057,349
110380,4587
110380,9780
110380,1107983
110380,19011
110380,146687
110380,74266
110380,1507609
110380,1507612
110380,1507613
110380,1122373
110380,1122374
110380,1122375
530,529
530,532
530,6384
1107983,181934
1107983,496175
1107983,1280183
1107983,1006651
1107983,180659
1107983,1165240
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,21111
1107983,2803017
1107983,2803001
1107983,2954
1107983,33663
1107983,2301996
1107983,214317
1107983,13716
1107983,117180
1107983,937663
1107983,1931175
1107983,2662887
3087,3084
3087,1158
3087,3092
3087,3085
3087,12132
3087,2130
3087,932719
3087,106179
3087,10190
3087,5250
3087,8483
3087,8482
3087,6349
3087,8487
3087,8488
3087,8489
16896,15532
16896,1213001
16896,12311
16896,8857
16896,15395
16896,4512
16896,6721
16896,18588
16896,1799971
16896,2463363
16896,55257
16896,19429
16896,18897
16896,62410
16896,62047
16896,62048
16896,12824
16896,1298360
16896,1935918
16896,1583355
6384,21127
6384,1692944
6384,67759
6384,40644
6384,64
6384,1776
6384,38803
6384,20215
6384,2130
1407498,2395
1407498,1735828
1407498,53397
1407498,102786
1407498,128550
1407498,2320880
1407498,31
1407498,4784
1407498,516
3084,1158
3084,3085
3084,18269
3084,147
3084,82702
3084,65605
3084,47775
3084,4483
3084,13570
3084,3417
3084,68402
3084,5049
3084,68381
15532,6861
15532,11511
15532,1066777
15532,65013
15532,4808
15532,70261
15532,70243
15532,7173
31028,11367
31028,5375
31028,52646
31028,1734
31028,287
31028,192
31028,12052
82702,1227278
82702,2636676
82702,134710
82702,134711
82702,2687948
82702,108881
82702,926
82702,1905
82702,4610
82702,16178
82702,10750
82702,1234966
82702,65605
82702,47775
82702,56367
82702,200
82702,5657
82702,19178
82702,11510
82702,29292
82702,18793
82702,2426206
82702,2284427
82702,3635
82702,110001
82702,54421
82702,3149
82702,16866
82702,138986
82702,85564
82702,122750
82702,109897
82702,70089
82702,6352
82702,13301
82702,1487
82702,1201284
82702,140567
82702,2583773
82702,37934
82702,15310
82702,12207
82702,20156
82702,4347
82702,4299
82702,9309
82702,45042
82702,553721
82702,27011
82702,8851
82702,543105
82702,3492377
82702,3492379
82702,3492380
82702,154782
82702,154783
82702,174875
18588,129048
18588,4302
18588,1799971
60158,24810
60158,5788
60158,87514
60158,2177
60158,11140
1122373,1122374
1122373,1122375
1122373,3897137
1122373,9290
15395,8857
13716,214317
13716,117180
13716,21278
13716,13724
13716,7447
147,1932312
147,1932313
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
147,14782
147,190
147,18269
147,59554
147,1591097
147,1591098
147,1572034
147,2555
147,7004
147,7218
147,1954
147,11160
92932,1326204
55257,2463363
2098137,2098136
2098137,2098138
1213001,12311
102786,128550
102786,2320880
102786,2503684
102786,107379
102786,55638
102786,1116399
102786,18802
102786,66620
102786,2134341
102786,13309
102786,964843
102786,1068409
102786,1068410
102786,1068411
102786,2954
102786,33663
102786,2301996
102786,149923
102786,1063969
102786,1063970
102786,1152
102786,3331792
102786,120578
102786,1101345
102786,89056
102786,74090
102786,10279
102786,89300
102786,46432
102786,1072882
102786,1987684
102786,35705
102786,143242
102786,174837
102786,3451053
102786,3527796
102786,1745467
102786,2569912
102786,2601848
102786,1173567
102786,1173480
102786,1348088
102786,1977908
102786,2169865
102786,2920376
102786,2920377
73988,2102583
73988,21111
73988,1050881
73988,2954
73988,33663
73988,2301996
73988,1165240
73988,1280183
73988,1152
73988,3331792
73988,120578
73988,57738
73988,1141815
73988,1204877
73988,937663
73988,1931175
73988,2662887
73988,1257876
73988,1051824
73988,1998031
73988,1116399
73988,102786
73988,18802
73988,31
73988,32
73988,33
40644,67759
40644,2710
40644,4587
40644,8691
40644,72129
40644,189111
40644,23964
10190,50967
10190,93655
10190,106179
10190,5250
8489,8487
8489,8488
8489,8483
8489,8482
8489,6349
2803017,2787630
2803017,2803001
20215,1776
20215,2130
20215,117669
20215,558466
20215,61555
20215,10017
20215,5563
20215,26557
20215,64
20215,18688
20215,8437
20215,589
51551,26466
51551,90654
51551,8699
51551,109899
51551,500
51551,996701
51551,6161
1280183,1006651
1280183,180659
1280183,1165240
8857,13294
8857,13295
8857,21278
8857,109255
8857,7505
8857,60158
8857,52057
8857,24810
8857,2672
8857,9066
8857,4299
5250,106179
5250,1936
5250,5247
5250,5248
5250,940155
5250,86104
5250,231773
937663,937664
937663,937665
937663,1931175
937663,2662887
4808,1066777
4808,65013
4808,25129
4808,69921
4808,1214261
4808,1877583
4808,151436
4808,564046
4808,164116
4808,5168
4808,9045
4808,1979
4808,20049
4808,205179
4808,222121
4808,17419
4808,84497
4808,134531
2641,1205143
2641,1205144
2641,92029
2641,218506
2641,2222
2641,18878
2641,9111
2641,98234
2641,2282
2641,24589
2641,24590
2641,11770
2641,515
2641,349
2641,57905
2641,18589
2641,105270
4587,33181
4587,63611
4587,53574
4587,16217
4587,9780
4587,10696
4587,10690
4587,2710
4587,8691
4587,11008
4587,11091
4587,15762
4587,1160
4587,1813
4587,8891
4587,44038
4587,1121437
4587,70243
4587,15973
4587,16108
2535,562922
2535,21215
2535,225620
2535,2654014
2535,2673964
2535,21563
2535,2939038
2535,2391
2535,1753
2535,8689
2535,2297056
2535,2295
2535,141823
2535,58924
2535,21355
2535,1922617
2535,587035
2535,479206
2535,154382
2535,31134
2535,74613
2535,2808544
2535,1297171
2535,108081
2535,1220781
2535,115002
2535,7447
3085,1158
3085,7447
3085,9560
3085,5682
3085,44556
3085,20234
3085,1487
3085,111714
3085,165867
3085,3092
1507609,1507612
1507609,1507613
514,7071
514,518
514,10409
514,10410
514,6193
514,1892
514,3391
514,117075
514,34947
514,1262612
514,21200
514,1487
514,7487
514,1428
1507613,1507612
11511,6861
3266,5376
3266,5937
3266,26009
3266,1067583
3266,36059
3266,10427
3266,781
3266,33
3266,5149
3266,2710
3266,4587
3266,8691
3266,2144
3266,141
3266,2505
1122374,1122375
1122374,3897137
1122374,9290
21010,76184
21010,75781
21010,101032
21010,39770
21010,34721
21010,83908
21010,1748
21010,8499
21010,16896
21010,8857
21010,15395
24810,41250
24810,33716
2098136,2098138
1776,2559324
1776,2559325
1776,27888
1776,2630
1776,958722
1776,41381
1776,38803
1776,64
1776,151007
1776,1
1776,7879
1776,2130
1776,1032
1776,1150
1776,1666
1776,2226
1776,1006721
1776,11483
1776,3084
1776,3087
1776,8349
111513,57194
111513,205179
111513,1224841
111513,539
111513,1842039
111513,71403
111513,129193
111513,1434813
111513,2936237
111513,2790024
111513,3223
111513,16828
111513,103
2166741,1397846
4430,82315
4430,11492
4430,1916574
4430,5168
4430,6449
4430,516
4430,380
4430,4517
4430,2682390
4430,2227
4430,71531
4430,1383964
4430,1867979
4430,11770
4430,515
4430,349
4430,8293
4430,32017
4430,3753843
4430,5682
4430,44556
4430,20234
4430,15762
4430,1160
4430,1813
8654,2059
8654,7132
8654,104053
8654,1357571
8654,1357572
8654,1357573
8654,21278
8654,13724
8654,7447
4483,13570
4483,3417
4483,3237245
4483,2320382
4483,863
4483,39015
4483,73931
4483,142439
4483,7447
4483,9560
4483,3085
4483,1206
4483,70851
4483,56159
4483,21278
4483,13724
4483,214317
4483,13716
4483,117180
4483,9979
4483,9789
4483,6449
4483,707
4483,11850
4483,9274
4483,19803
4483,1084298
4483,100140
4483,1298360
4483,1935918
4483,1583355
4483,1289968
4483,1718961
4483,2762565
2301996,2954
2301996,33663
2301996,2189100
2301996,1671675
2301996,1644623
2301996,1647876
2301996,3252749
2301996,3370866
1066777,65013
89819,15831
89819,1254526
89819,17051
89819,1518619
89819,7796
89819,851784
89819,2130
89819,16431
89819,2203
89819,13922
89819,188238
89819,52139
109686,2089925
109686,1562353
109686,1232383
532,529
532,6384
532,2975
532,7187
532,57371
532,3034
36059,42206
36059,10167
36059,1226195
36059,13637
2662887,1931175
1158,1159
1158,1160
1158,3092
6349,8483
6349,8482
62047,62048
62047,12824
2954,33663
2954,25072
2954,3910
2954,1241
2320880,128550
449538,13309
449538,1661465
449538,87525
449538,7056
449538,154782
449538,154783
449538,174875
18897,1619
18897,1338
18897,19429
18897,1341
18897,15111
18897,51576
18897,10814
18897,62410
18897,11163
18897,1768642
18897,2304833
18897,3250943
18897,32673
18897,116353
18897,26756
18897,2103203
18897,131168
18897,2344656
18897,2921077
18897,2921078
31,32
31,33
31,52
31,5149
31,3197
31,12833
31,572541
31,1457107
31,107602
31,107605
31,4784
31,516
31,35219
31,7879
31,9261
31,488
31,2689
31,325
31,70851
31,134
31,707
31,26485
31,54812
31,1206
31,56159
31,18688
31,8437
31,589
31,2585
31,100183
31,13745
31,1298360
31,1935918
31,1583355
529,46300
529,27889
529,1331
529,326
