id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
3084,Marlon Brando
3087,Robert Duvall
8349,Martin Sheen
16896,James Garner
19239,Judith Ivey
15532,Ruby Dee
18471,Anthony Anderson
74611,Tracee Ellis Ross
1407498,Marsai Martin
2395,Whoopi Goldberg
1735828,Halle Bailey
53397,Christina Aguilera
1224841,Mo Willems
539,Thomas Lennon
111513,Yvette Nicole Brown
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
26466,Caroline Kava
51551,James Handy
5606,Sissy Spacek
5632,Jack Fisk
1179102,Kathleen Kennedy
11367,Bradley Whitford
31028,Richard Schiff
1397846,Craig Barron
2166741,Robert A. Baum Jr.
3266,Joe Mantegna
36059,Joanna Pacula
21010,Alexandra Hay
101032,Rod McCary
103835,Jeff Monahan
6717,James Marshall
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
2641,Martin Landau
92029,Gabriel Bologna
218506,Gretchen Becker
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
2682390,Gerd Ludwig
2227,Nicole Kidman
4430,Sharon Stone
449538,Adele
13309,Oprah Winfrey
1661465,Lizzo
92932,Aaron D. Spears
1326204,Lori Hayes
8654,Matthew Modine
104053,Michele Greene
60158,Shirley Jones
24810,Pat Boone
109686,Flex Alexander
2089925,Harvey B. Jackson
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
1507609,Bob Coen
1507612,Francis E. Boyle
1507613,Jean Patterson
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
529,Guy Pearce
532,Joe Pantoliano
181934,Al Sharpton
496175,Carmelo Anthony
1280183,Coretta Scott King
1006651,John Lewis
180659,Rosa Parks
1165240,Jason Alan Carvell
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
21111,John F. Kennedy
2803017,Arthur John Birch
2803001,Haroldson Lafayette Hunt
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
214317,Benjamin C. Bradlee
13716,Carl Bernstein
117180,Tom Brokaw
937663,Neil Amdur
1931175,Bob Beamon
2662887,Ralph Boston
1158,Al Pacino
3092,Diane Keaton
3085,James Caan
12132,Michael Rooker
2130,Cary Elwes
932719,Jeff Gordon
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
8483,Horton Foote
8482,Robert Mulligan
6349,Alan J. Pakula
8487,Gregory Peck
8488,Mary Badham
8489,Phillip Alford
1213001,Charles Frank
12311,Jack Kelly
8857,Debbie Reynolds
15395,Maurice Ronet
4512,James Woods
6721,Piper Laurie
18588,Joan Hackett
1799971,Alex Harvey
2463363,Robert Dunne
55257,Adam Arkin
19429,Bruce Lee
18897,Jackie Chan
62410,Sammo Hung
62047,Gary Trousdale
62048,Kirk Wise
12824,Don Hahn
1298360,Laverne Cox
1935918,Bianca Leigh
1583355,Jen Richards
21127,Bobby Cannavale
1692944,Heidi Schreck
67759,Basil Iwanyk
40644,Chad Stahelski
64,Gary Oldman
1776,Francis Ford Coppola
38803,Roman Coppola
20215,Billy Campbell
102786,Barack Obama
128550,Desmond Tutu
2320880,Sundar Pichai
31,Tom Hanks
4784,Laura Dern
516,Annette Bening
18269,Brendan Fraser
147,Michael Madsen
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
68402,Barry Navidi
5049,John Hurt
68381,Thom Eberhardt
6861,Andre Braugher
11511,Daniel Stern
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
70261,Nat King Cole
70243,Eartha Kitt
7173,Cab Calloway
5375,Geoffrey Arend
52646,Vincent Kartheiser
1734,Annette O'Toole
287,Brad Pitt
192,Morgan Freeman
12052,Gwyneth Paltrow
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
16178,Rick Baker
10750,Sheryl Crow
1234966,Greg Phillinganes
56367,Naomi Campbell
200,Nancy Cartwright
5657,Anjelica Huston
19178,Dick Shawn
11510,Macaulay Culkin
29292,Isaiah Sanders
18793,Kieran Culkin
2426206,Danny Wu
2284427,Charles Thomson
3635,Elizabeth Taylor
110001,Phil Collins
54421,Janet Jackson
3149,Marilyn Monroe
16866,Jennifer Lopez
138986,Tony Bennett
85564,Andrea Bocelli
122750,Leslie Uggams
109897,Ethel Merman
70089,Imogene Coca
6352,Jane Fonda
13301,Quincy Jones
1487,Bob Dylan
1201284,Jacques Peretti
140567,Donny Osmond
2583773,J Randall Taraborelli
37934,André 3000
15310,Anthony Kiedis
12207,Kylie Minogue
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
9309,Richard Pryor
45042,Adam Ant
553721,Nick Ashford
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
3492377,Madeleine Albright
3492379,Ilie Alexandru
3492380,Ioan Amarie
154782,Pat Benatar
154783,Neil Giraldo
174875,Carly Simon
129048,Roger Davis
4302,Walter Brennan
5788,James Cagney
87514,Roger Smith
2177,Lloyd Bridges
11140,Lynn Carlin
3897137,Cool 'Disco' Dan
9290,Henry Rollins
21278,Alan Alda
13724,Jane Alexander
7447,Alec Baldwin
1932312,Maureen McCarthy
1932313,Cecil Moe
1037,Harvey Keitel
3129,Tim Roth
23920,Chad McQueen
6844,Dom DeLuise
68559,Gary Daniels
188707,Christopher Stapleton
14782,Andrew Robinson
190,Clint Eastwood
59554,Jesse Bernstein
1591097,Bryan Clark
1591098,Savannah Goldsmith
1572034,Robert Scott Wilson
2555,David Proval
7004,Paul Sorvino
7218,Kristanna Loken
1954,Billy Zane
11160,Danny Trejo
2503684,Abdullah bin Abdulaziz Al Saud
107379,LeBron James
55638,Kevin Hart
1116399,Winston Churchill
18802,Ronald Reagan
66620,Angela Merkel
2134341,Theresa May
964843,Michelle Obama
1068409,Frank Marshall Davis
1068410,Ann Dunham
1068411,Stanley Dunham
149923,Lester Brown
1063969,Yvo de Boer
1063970,Paul R. Ehrlich
1152,Oliver Stone
3331792,Vasili Arkhipov
120578,Franklin D. Roosevelt
1101345,Avicii
89056,David Guetta
74090,Tiësto
10279,Adolf Hitler
89300,Nelson Mandela
46432,George H.W. Bush
1072882,Mindy Robinson
1987684,Dywayne Thomas
35705,Regina Hall
143242,Terrence Jenkins
174837,Yolanda Adams
3451053,Natalya Sindeeva
3527796,Aleksandr Vinokurov
1745467,Vera Krichevskaya
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner jr.
1173480,François Hollande
1348088,Laurent Delahousse
1977908,Claire Chazal
2169865,Birgitta Assheuer
2920376,Îlham Ahmed
2920377,Zaher al-Saket
1050881,Jacqueline Kennedy
57738,Samuel Labarthe
1141815,Charles de Gaulle
1204877,André Malraux
1257876,Margaret Whitmer
1051824,Tom Junod
1998031,Joanne Rogers
32,Robin Wright
33,Gary Sinise
2710,James Cameron
8691,Zoe Saldaña
72129,Jennifer Lawrence
189111,Suzanne Collins
23964,Gary Ross
50967,Doug McClure
93655,Guy Stockwell
117669,Portia Doubleday
558466,Alex Russell
61555,Haley Ramm
10017,Charlton Heston
5563,James Coburn
26557,Ferdy Mayne
18688,Harry Connick Jr.
8437,Teri Garr
589,Daryl Hannah
90654,Pam Dawber
8699,Michael Nouri
109899,Bess Meyer
500,Tom Cruise
996701,Miles Teller
6161,Jennifer Connelly
13294,Gene Kelly
13295,Donald O'Connor
109255,Leonard Maltin
7505,Roddy McDowall
2672,Jack Carson
9066,Judy Garland
1936,Martin Balsam
5247,John Fiedler
5248,Lee J. Cobb
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
937664,Abraham Beame
937665,Bob Bright
25129,Don Johnson
69921,Paul Shaffer
1214261,Dominik Hašek
1877583,Jaromír Jágr
151436,Julia Barnett
564046,Ted Bardy
164116,Sarah Bloom
5168,Gabriel Byrne
9045,Stephen Baldwin
1979,Kevin Spacey
20049,David Tennant
205179,Danny Pudi
222121,Ben Schwartz
17419,Bryan Cranston
84497,Aaron Paul
134531,Anna Gunn
1205143,John Gazarian
1205144,Darlene Landau
2222,Beau Bridges
18878,Rob Cohen
9111,Peter Graves
98234,Barbara Bain
2282,Ben Kingsley
24589,Paul Mercurio
24590,Dominique Sanda
11770,John Carpenter
515,Glenn Close
57905,Lindsay Wagner
18589,Lee Majors
105270,Tom Schanley
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
16217,Lynn Whitfield
10696,Famke Janssen
10690,Anna Paquin
11008,Rebecca Romijn
11091,Brett Ratner
15762,Tara Strong
1160,Michelle Pfeiffer
1813,Anne Hathaway
8891,John Travolta
44038,Nancy Allen
1121437,Leslie Felperin
15973,Julie Newmar
16108,Lee Meriwether
562922,Christian Keyes
21215,Elise Neal
2654014,Mariah Robinson
2673964,Arie Thompson
21563,Corin Nemec
2939038,Sydney Malakeh
2391,Michael Dorn
1753,Nichelle Nichols
8689,Barry Shabaka Henley
2297056,Darik Bernard
2295,Mickey Rourke
141823,Tisha Campbell-Martin
58924,Clifton Powell
21355,DMX
1922617,Joy Rovaris
587035,Nadji Jeter
479206,Demetria McKinney
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
2808544,Daran Acevedo
1297171,Julian Bane
108081,Malik Barnhardt
1220781,Shelly Altman
115002,John Aniston
9560,Ellen Burstyn
5682,Anouk Aimée
44556,Richard Anconina
20234,Fanny Ardant
111714,Al Green
165867,Kid Rock
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
10410,Danny Lloyd
3391,Kathleen Turner
117075,Henry Jaglom
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
7487,David Bowie
1428,Mick Jagger
5376,Jean Smart
5937,Kari Matchett
26009,Gail O'Grady
1067583,Suzanne Happ
10427,Anne Archer
781,Paul Reiser
5149,Bonnie Hunt
2144,Tobin Bell
141,David Carradine
2505,James Cromwell
76184,Bryan Marshall
75781,John Turner
39770,Adam Roarke
34721,Larry Bishop
83908,Daniel Massey
1748,William Shatner
8499,William Windom
41250,Dick Sargent
33716,Terry Moore
2559324,Beth Lane
2559325,Lea Madda
27888,Raúl Juliá
2630,Nastassja Kinski
958722,Eiko Ishioka
41381,Sadie Frost
151007,Peter Ramsey
1,George Lucas
7879,John Lasseter
1032,Martin Scorsese
1150,Brian De Palma
1666,Julie Christie
2226,Sydney Pollack
1006721,Charles Scorsese
11483,Catherine Scorsese
57194,Dan Harmon
1842039,Joe Tessitore
71403,Rob Riggle
129193,Paula Abdul
1434813,Thomas Ward
2936237,Erin James
2790024,Nick Nemeroff
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
82315,Jean Harlow
11492,Clark Gable
1916574,Caitlin Doughty
6449,Warren Beatty
380,Robert De Niro
4517,Joe Pesci
71531,Deepak Chopra
1383964,Thích Nhất Hạnh
1867979,Sister Chân Không
8293,Marion Cotillard
32017,Didier Lavergne
3753843,Bryna Rifkin
2059,Adam Baldwin
7132,Vincent D'Onofrio
1357571,Mike Chunn
1357572,Nick D'Angelo
1357573,Kristine Fuemana
3237245,Sara Lewinstein
2320382,David Mandell
863,Orson Bean
39015,Eileen Brennan
73931,Bette Midler
142439,Emmett Kelly
1206,Jason Alexander
70851,Jack Black
56159,Dana Carvey
9789,Robert Altman
707,Dan Aykroyd
11850,Candice Bergen
9274,James Brolin
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
100140,Daniel Rabinovich
1289968,Cara Delevingne
1718961,Alok Vaid-Menon
2762565,Steve Osunsami
2189100,Moon Jae-in
1671675,Yuna Kim
1644623,Ahn Jung-hwan
1647876,Hans Henrik Wöhler
3252749,Michael Fanone
3370866,Aquilino Gonell
15831,Frank Welker
1254526,Brianna Gentilella
17051,James Franco
1518619,Sigi Ravet
16431,Sam Elliott
2203,Neal McDonough
13922,Seth Green
188238,Matthew Senreich
52139,Seth MacFarlane
1562353,Erica Mena
1232383,Parker McKenna Posey
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
42206,Matt McCoy
10167,George Lazenby
1226195,Rob Stewart
13637,Joan Collins
1159,Steven Bauer
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
87525,Alan Carr
7056,Emma Thompson
1619,Chow Yun-fat
1338,Maggie Cheung
1341,Donnie Yen
15111,Jean-Claude Van Damme
51576,Chuck Norris
10814,Wesley Snipes
11163,John Saxon
1768642,Jamie Campbell
2304833,Joel Wilson
3250943,Jonathan King
32673,Richard Harrison
116353,Don Wong Tao
26756,Yasuaki Kurata
2103203,James B. Nicholson
131168,Lee Hoi-Chuen
2344656,Hu Jintao
2921077,Jacques Rogge
2921078,Liu Qi
52,David Morse
3197,Tom Sizemore
12833,Edward Burns
572541,Caleb Landry Jones
1457107,Oscar Avila
107602,Jeff Beck
107605,Lenny Bruce
35219,Corey Burton
9261,Frank Abagnale Jr.
488,Steven Spielberg
2689,Jeff Nathanson
325,Eminem
134,Jamie Foxx
26485,Jim Belushi
54812,Chevy Chase
2585,Eric Clapton
100183,Jeff Lynne
13745,Ravi Shankar
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
326,Kim Basinger
323,Curtis Hanson
11099,Dante Spinotti
2157,Robin Williams
880,Ben Affleck
21007,Jonah Hill
3894,Christian Bale
19498,Jon Bernthal
10297,Matthew McConaughey
83002,Jessica Chastain
1810,Heath Ledger
3361135,Peter Kent
1812,Michelle Williams
56890,Malcolm McDowell
46393,Roseanne Barr
1353815,Dr. Diane Ravitch
1353816,Dr. Linda Darling-Hammond
20212,Dermot Mulroney
41249,Tess Harper
1841281,Joey Molland
1225302,Annie Nightingale
3546502,Jack Trout
118764,Paulo Pires
36281,Imanol Arias
3199207,Jerry Dealey
3199208,Barry Ernest
21818,Lesley Ann Warren
12967,Swoosie Kurtz
13567,Ann-Margret
25834,Leslie Hope
1204293,J. Allen Hynek
2027993,Philip J. Klass
1189209,Woody Guthrie
2993220,Rick Sharp
20959,Louis Gossett Jr.
57829,Anthony LaPaglia
2045089,Jeanmarie Simpson
4687,Patricia Arquette
2045090,Joyce Julianne Auer
1538806,Zackary Drucker
1583356,Angelica Ross
6474,James Le Gros
69122,Heather Graham
65344,Esai Morales
6677,Kyle MacLachlan
6678,Michael Ontkean
6714,Mädchen Amick
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
36811,Nick Cannon
1870421,Collie Buddz
2412016,Lilly Bartlam
186529,Tony Daniels
88059,Tommy Davidson
15411,T.K. Carter
1430,Keith Richards
53396,Ronnie Wood
8534,Kathy Bates
1121,Benicio del Toro
3392,Michael Douglas
59315,Olivia Wilde
2838,Chloë Sevigny
4756,Matthew Broderick
15152,James Earl Jones
16940,Jeremy Irons
57551,Mario Cantone
5726,Cedric the Entertainer
155488,Kelly Clarkson
292445,Blake Shelton
21986,Reba McEntire
2387,Patrick Stewart
2388,Jonathan Frakes
1213786,Brent Spiner
16418,Casey Kasem
148120,Tiffany
83170,Valerie Harper
2774840,Luis Miranda
1179651,Lin-Manuel Miranda
216674,Hillary Clinton
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
1650331,Jeremy O. Harris
350,Laura Linney
172069,Chadwick Boseman
1215522,Robin Roberts
1896,Don Cheadle
6240,Mariska Hargitay
21411,Ice-T
206637,Kelli Giddish
120608,Sonia Manzano
1596910,Nitya Vidyasagar
24045,Joseph Gordon-Levitt
1643996,CeCe McDonald
131519,Rihanna
1305687,Gigi Hadid
1338269,Big Sean
115679,Charlotte Riley
1405836,Tom Byam Shaw
6859,Mía Maestro
35,Sally Field
21399,Ron Silver
3274157,Sara Dylan
1490,Joan Baez
1610820,Matt Collins
1610824,Roxanne Gregory
30610,Barbara Baxley
2750,Julie Harris
37469,Betsy Palmer
1211997,Liz Sheridan
44810,Cassandra Peterson
4785,Jeff Goldblum
6929,Tippi Hedren
68929,Laurie Anderson
1096822,Afrika Bambaataa
938558,Stephen Bishop
4078,Lee Van Cleef
99846,Shô Kosugi
44797,Timothy Van Patten
31844,Ann Blyth
22600,Edmund Gwenn
53010,John McIntire
11665,Michael Angarano
2171,Griffin Dunne
15864,Clarence Williams III
176557,Mark Kassen
19453,Tom Bower
17696,Kathryn Hahn
81316,Reid Scott
10767,Barbara Hershey
1366083,Grace Kaufman
566154,Bruce Daniels
1141310,Joe Dietl
75464,Carrie Aizley
11477,Ray Liotta
64825,Harry Hamlin
175981,Linda Doucett
21246,Corbin Bernsen
94814,Susan Dey
16476,Larry Drake
3063345,Susan Collins
1230063,Kay Bailey Hutchison
2155,Thora Birch
54693,Emma Stone
19492,Viola Davis
6944,Octavia Spencer
1238314,Kurt Busch
204415,Jimmie Johnson
1442410,Trevor Phillips
1442411,Nigel Farage
1225259,Kirsty Young
174981,King Charles III of the United Kingdom
1094687,Prince Edward
1306064,Princess Diana of Wales
558240,Queen Elizabeth II of the United Kingdom
47,Björk
3219627,Lydia Korniordou
1242957,Günther Jauch
1189929,Condoleezza Rice
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
4786,Richard Attenborough
1428889,Ivy Austin
3323316,Tricia Brooks
2021450,Vernon Jordan
3797418,Maria Kirke
1416398,Joshua L. Pearson
116341,Bill Clinton
7046,Cecilia Peck
1102449,Veronique Peck
3026,Rob Reiner
2127,James Wan
2128,Leigh Whannell
2675,Darren Lynn Bousman
68750,Robert Townsend
62861,Andy Samberg
53256,Terry Crews
6355,Roy Scheider
7673,Bonnie Bedelia
3229,Arliss Howard
